# Metadata
# tracker: mediapipe_tracker
# num_cameras: 2
# num_landmarks: 33

frame,nose,left_eye_inner,left_eye,left_eye_outer,right_eye_inner,right_eye,right_eye_outer,left_shoulder,right_shoulder,left_hip,right_hip,left_elbow,left_wrist,right_elbow,right_wrist,left_knee,left_ankle,right_knee,right_ankle
57,43.71026729595898,128.11174803231944,173.79500708080397,152.80762518731927,122.38543453227726,176.4553127441825,107.22426457449275,84.83338769985882,82.84215287940916,97.75188598423941,94.37315030791852,162.22323446241472,172.436616362242,169.41197516590873,176.19465158388763,172.57179114175327,161.10942477396708,175.4921565980785,144.22070169103117
58,45.94107749166262,130.9229974119322,173.1076303940392,159.44327722029155,117.42235392295397,175.18675922721036,102.76244375176012,84.99157666548997,83.05310045706085,96.98218034844994,94.74801389031718,162.58835949600734,171.5113926180216,167.64734083745518,175.72432654258918,174.40930811797745,165.3063377479737,175.6644636771966,143.55795225220967
59,48.57009643918491,134.3164759053789,176.97886968452713,157.22503804099168,114.22884557890656,178.12991269405072,92.88136768982945,83.66513103695556,84.05660922666002,97.20110167736229,94.9607542895208,163.07075010905083,171.08361120440816,167.17412516409263,178.4946743023621,174.41324148798753,162.59756416719313,174.11552799642732,146.45213287382242
60,48.08863654823411,134.5691567941512,176.08065281184003,155.08722931372048,114.06780000644096,177.74764660649421,101.39681035723667,84.05485504824024,83.78053611527879,97.78344285171998,94.28870246689193,164.2645558567997,171.65675918181864,166.96697088593163,178.13790622133996,173.54493394304936,161.74860107661706,175.2793503867033,144.40194960285362
61,47.38283103135474,133.30016305720488,176.62472888410363,154.96406528829908,113.76451062692935,176.54182572859582,103.7290754831344,83.76037748971005,83.99214268854836,98.70405420156304,93.42165516147193,164.25682886123357,171.76001319588468,167.90307850630296,177.85979031257983,173.7386790887869,162.71940250812492,175.4381220844972,142.75748615325602
62,48.24073876099002,131.53902225577238,172.43827976251288,156.54026074677128,114.87247823736345,176.29199564875586,104.80016543912966,82.82187705077361,84.7982665791268,98.86878050204594,93.36948136962108,164.8939594300266,172.04724039571693,168.4850985918212,177.58505376401794,173.68497108984891,162.91138224120124,172.7285099275865,141.8126174982773
63,48.63788936965072,129.27315955419485,174.30447786160684,153.796999076004,116.28920560852698,177.62958833560725,107.63599902118551,82.45167728908808,85.29533221888003,98.98512064127833,93.04121219266435,165.6490176476497,173.1885417254655,168.26697173830203,175.71826649010998,174.8180764877796,162.8120140984111,171.47644185131304,143.07258088907142
64,47.74109402794829,129.05675906432802,175.71661905514858,152.60457634870028,119.05172624748958,179.82315250029524,106.46683118239055,82.5107385701782,85.2185592768162,98.36842297693205,93.69331109229536,165.13325073920666,172.28526162284658,166.68812309930846,175.59451992423922,174.11375052779022,159.86231167661091,158.79599810996046,149.4192636785096
65,48.65721768948667,131.0044311740019,177.52191007955787,157.49529114140324,119.68054004240047,178.9514346525465,102.97937758730257,82.18796075451395,85.36999355926065,97.93849676545597,94.19742018913924,165.13084070904213,170.54775320693952,163.4131189801423,177.32068644407573,174.73985814073455,162.49050762694677,148.0550103991783,150.7577000795681
66,48.38831235719254,130.3821284372901,176.1967902417469,157.6392406893165,119.90679409302204,177.85801755982405,107.08918653435127,82.59755006477803,84.99675269087628,97.00266629271864,94.99784390883174,165.23400217051864,170.98439405813443,162.61779898063673,175.73493712018703,175.23776523513857,162.71006160475918,141.95903993123824,149.9637748995372
